80: Title=TFRS          Code=28   State=}               Start=170 End=171 Line=22 Sumbol=2
81: Title=TFRS          Code=28   State=}               Start=173 End=174 Line=23 Sumbol=2
82: Title=TFRS          Code=28   State=}               Start=176 End=177 Line=24 Sumbol=2
83: Title=_int          Code=33   State=int             Start=179 End=182 Line=25 Sumbol=2
84: Title=TID           Code=1    State=temp            Start=183 End=187 Line=25 Sumbol=6
85: Title=TTZpt         Code=22   State=;               Start=187 End=188 Line=25 Sumbol=10
86: Title=_int          Code=33   State=int             Start=190 End=193 Line=26 Sumbol=2
87: Title=TID           Code=1    State=s               Start=194 End=195 Line=26 Sumbol=6
88: Title=TSave         Code=8    State==               Start=196 End=197 Line=26 Sumbol=8
89: Title=TConstInt     Code=2    State=2               Start=198 End=199 Line=26 Sumbol=10
90: Title=TDiv          Code=20   State=/               Start=199 End=200 Line=26 Sumbol=11
91: Title=TID           Code=1    State=f               Start=200 End=201 Line=26 Sumbol=12
92: Title=TMinus        Code=17   State=-               Start=201 End=202 Line=26 Sumbol=13
93: Title=TConstInt     Code=2    State=2               Start=202 End=203 Line=26 Sumbol=14
94: Title=TMult         Code=19   State=*               Start=203 End=204 Line=26 Sumbol=15
95: Title=TConstInt     Code=2    State=2               Start=204 End=205 Line=26 Sumbol=16
96: Title=TPlus         Code=15   State=+               Start=205 End=206 Line=26 Sumbol=17
97: Title=TConstDouble  Code=6    State=1.1             Start=206 End=209 Line=26 Sumbol=18
98: Title=TMult         Code=19   State=*               Start=209 End=210 Line=26 Sumbol=21
99: Title=TConstInt     Code=2    State=1               Start=210 End=211 Line=26 Sumbol=22
100: Title=TPlus         Code=15   State=+               Start=211 End=212 Line=26 Sumbol=23
101: Title=TConstInt     Code=2    State=2               Start=212 End=213 Line=26 Sumbol=24
102: Title=TTZpt         Code=22   State=;               Start=213 End=214 Line=26 Sumbol=25
103: Title=TID           Code=1    State=f               Start=216 End=217 Line=27 Sumbol=2
104: Title=TSave         Code=8    State==               Start=218 End=219 Line=27 Sumbol=4
105: Title=TConstInt     Code=2    State=3               Start=220 End=221 Line=27 Sumbol=6
106: Title=TTZpt         Code=22   State=;               Start=221 End=222 Line=27 Sumbol=7
107: Title=TFRS          Code=28   State=}               Start=223 End=224 Line=28 Sumbol=1
108: Title=TEOF          Code=300  State=                Start=223 End=223 Line=28 Sumbol=1

======================================================
